lambda,Psi,Delta,T,R,n_S,k_S
561,31.177836656014446,94.31379209132193,0.41610073446882273,0.5838992655311788,4.3505,0.7027
564,30.57528127355428,93.44786271750154,0.40687800901728954,0.5931219909827097,4.3442,0.6877
567,29.981746187479583,92.53018615121265,0.39822825936933015,0.6017717406306707,4.3379,0.673
570,29.396294604425638,91.5627844133404,0.3901166775849919,0.6098833224150088,4.3316,0.6587
573,28.817291592301544,90.5472950290819,0.38251724072279386,0.6174827592772058,4.3252,0.6447
576,28.25409133623937,89.50703485854554,0.37554189530905885,0.6244581046909414,4.3189,0.6309
579,27.685472668209442,88.39692488299497,0.36885317241454757,0.6311468275854535,4.3125,0.6174
582,27.121400512922598,87.24175213318215,0.3625906772870382,0.6374093227129616,4.306,0.6043
585,26.570901504975527,86.06559198928304,0.3568485005792632,0.6431514994207381,4.2996,0.5913
588,26.01405842910815,84.81853247725167,0.35134357656248977,0.6486564234375105,4.2931,0.5787
591,25.460537891970045,83.52369171492191,0.34618143956988884,0.6538185604301116,4.2867,0.5663
594,24.920081561943455,82.21373082741681,0.34146889260984703,0.6585311073901537,4.2802,0.5542
597,24.37277193909998,80.82576773748218,0.336941401425485,0.663058598574515,4.2738,0.5423
600,23.828519606464187,79.39121766456411,0.3327146490315588,0.6672853509684418,4.2673,0.5307
603,23.297006691103068,77.9401258406105,0.328861606622971,0.671138393377029,4.2608,0.5192
606,22.75992681570612,76.40676131784718,0.32516377791829165,0.6748362220817076,4.2544,0.5081
609,22.22579931400653,74.82184076868869,0.32172213421746576,0.6782778657825344,4.2479,0.4971
612,21.706418572161457,73.22070324239066,0.31859069468077417,0.6814093053192258,4.2415,0.4864
615,21.181599538072614,71.5286225714585,0.3155985954396018,0.684401404560398,4.2351,0.4759
618,20.671704059943824,69.81959641059984,0.3128915078771757,0.6871084921228239,4.2287,0.4656
621,20.15757948979104,68.01313149659892,0.3103116482848705,0.6896883517151297,4.2223,0.4555
624,19.649805550060776,66.1455186414246,0.3079252508911502,0.6920747491088496,4.2159,0.4456
627,19.15831451064933,64.25748118602385,0.3057830979638339,0.6942169020361659,4.2095,0.4358
630,18.66583784765841,62.260477575689336,0.3037469757127411,0.6962530242872588,4.2032,0.4263
633,18.19148509461126,60.24253532490744,0.3019312762077,0.6980687237922997,4.1969,0.417
636,17.717365754088156,58.1072833272558,0.30022074833893203,0.6997792516610677,4.1906,0.4079
639,17.26253384654525,55.94786624728179,0.2987102573130655,0.7012897426869346,4.1843,0.3989
642,16.81027740176218,53.662246155370035,0.29729875368574366,0.7027012463142565,4.178,0.3901
